overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
237,Riley Patterson,K,32,12,MIA,6,61.0,3.7,0.97,267.0,58.7,-37.5,-39.0,-34.6,-4.4,0,
238,Ted Hurst,WR,77,17,TB,10,97.9,6.78,0.85,239.6,52.7,-37.8,-40.2,-33.3,-6.9,0,
239,Pat Bryant,WR,78,17,DEN,10,96.4,6.67,0.85,227.2,50.0,-38.5,-41.7,-32.6,-9.1,0,
240,Caleb Douglas,WR,79,18,MIA,6,94.8,6.56,0.85,178.7,29.9,-39.5,-43.3,-32.3,-11.0,74,
241,Tyreek Hill,WR,80,18,FA,0,93.7,6.83,0.807,224.9,49.5,-40.2,-44.4,-32.5,-11.9,0,
242,Tory Horton,WR,81,18,SEA,11,92.0,6.7,0.807,228.7,50.3,-41.4,-46.1,-32.7,-13.4,0,
243,Mike Gesicki,TE,29,12,CIN,6,104.9,7.35,0.84,270,45.0,-42.1,-46.0,-34.8,-11.2,0,
244,Woody Marks,RB,47,14,HOU,8,83.8,6.16,0.8,143.5,16.1,-42.4,-65.2,0.0,-65.2,362,
245,Andrei Iosivas,WR,82,18,CIN,6,91.3,6.32,0.85,270,45.0,-42.6,-46.8,-34.8,-12.0,0,
246,Bryce Young,QB,24,8,CAR,5,224.6,15.01,0.88,189.5,36.8,-42.8,-48.5,-32.3,-16.1,23,
247,Chimere Dike,WR,83,18,TEN,9,89.4,6.19,0.85,229.4,50.5,-43.1,-48.7,-32.8,-15.9,0,
248,Terrance Ferguson,TE,30,12,LAR,11,100.3,7.39,0.798,180.7,29.0,-44.2,-50.6,-32.3,-18.3,26,
249,Kenyon Sadiq,TE,31,12,NYJ,13,100.2,7.39,0.798,167.0,22.4,-44.3,-50.7,-32.3,-18.4,18,
250,Isaac TeSlaa,WR,84,18,DET,6,87.1,6.03,0.85,195.9,29.7,-44.5,-51.0,-32.3,-18.7,7,
251,Cooper Kupp,WR,85,18,SEA,11,86.4,5.98,0.85,174.2,26.5,-44.9,-51.7,-32.3,-19.4,130,
252,Keaton Mitchell,RB,48,14,LAC,7,96.9,7.5,0.76,169.8,21.3,-45.2,-52.1,-32.3,-19.8,112,
253,Keon Coleman,WR,86,18,BUF,7,85.8,6.25,0.807,234.8,51.7,-45.6,-52.3,-33.0,-19.3,0,
254,Jaylin Noel,WR,87,19,HOU,8,85.2,6.21,0.807,189.5,24.8,-45.7,-52.9,-32.3,-20.6,9,
255,Mason Taylor,TE,32,12,NYJ,13,96.4,6.75,0.84,224.3,49.3,-46.8,-54.5,-32.5,-22.0,0,
256,Tyler Allgeier,RB,49,15,ARI,14,77.2,5.68,0.8,149.6,20.8,-47.7,-71.8,-3.0,-68.8,204,
257,Dontayvion Wicks,WR,88,20,PHI,10,70.4,4.87,0.85,161.2,15.7,-48.9,-67.7,-14.1,-53.6,168,
258,Cam Ward,QB,25,9,TEN,9,214.8,14.36,0.88,194.0,37.8,-49.2,-58.2,-32.3,-25.9,29,
259,DeMario Douglas,WR,89,20,NE,11,80.4,5.56,0.85,270,45.0,-49.7,-57.7,-34.8,-22.9,0,
260,Zachariah Branch,WR,90,20,ATL,11,78.5,5.43,0.85,175.4,56.3,-50.1,-59.6,-32.3,-27.3,6,
261,Dylan Sampson,RB,50,15,CLE,11,88.7,6.52,0.8,170.3,21.8,-50.5,-60.3,-32.3,-28.0,62,
262,Daniel Jones,QB,26,9,IND,13,212.5,14.21,0.88,175.3,26.7,-50.7,-60.5,-32.3,-28.2,182,
263,Jack Bech,WR,91,20,LV,13,77.9,5.39,0.85,238.2,52.4,-50.7,-60.2,-33.2,-27.0,0,
264,Calvin Ridley,WR,92,20,TEN,9,77.3,5.35,0.85,193.4,51.3,-50.8,-60.8,-32.3,-28.5,78,
265,Darius Slayton,WR,93,20,NYG,8,76.3,5.28,0.85,178.0,5.8,-51.5,-61.8,-32.3,-29.5,15,
266,Kendrick Bourne,WR,94,20,ARI,14,77.4,5.36,0.85,270,45.0,-51.6,-60.7,-34.8,-25.9,0,
267,Antonio Williams,WR,95,20,WAS,7,75.2,5.2,0.85,235.8,51.9,-52.5,-62.9,-33.1,-29.8,0,
